routeid,depart_time,capacity,date,bus_id,driver_id
102,9:00,50,,,
102,10:00,50,,,
102,11:00,50,,,
102,12:00,50,,,
102,13:00,50,,,
102,14:00,50,,,
102,15:00,50,,,
102,16:00,50,,,
102,17:00,50,,,
102,18:00,50,,,
102,19:00,50,,,
102,20:00,50,,,
100102,8:00,50,,,
100102,9:00,50,,,
100102,10:00,50,,,
100102,11:00,50,,,
100102,12:00,50,,,
100102,13:00,50,,,
100102,14:00,50,,,
100102,15:00,50,,,
100102,16:00,50,,,
100102,17:00,50,,,
100102,18:00,50,,,
100102,19:00,50,,,
100102,20:00,50,,,
205,10:30,50,,,
205,12:30,50,,,
206,10:30,50,,,
256,8:30,50,,,
204,8:30,50,,,
204,9:30,50,,,
204,10:30,50,,,
204,11:30,50,,,
204,13:30,50,,,
204,14:30,50,,,
207,11:30,50,,,
247,8:30,50,,,
247,9:30,50,,,
203,9:00,50,,,
203,10:00,50,,,
203,11:00,50,,,
203,12:00,50,,,
203,13:00,50,,,
203,14:00,50,,,
203,15:00,50,,,
203,16:00,50,,,
203,17:00,50,,,
203,18:00,50,,,
208,9:00,50,,,
208,10:00,50,,,
208,11:00,50,,,
208,12:00,50,,,
208,13:00,50,,,
208,14:00,50,,,
208,15:00,50,,,
208,16:00,50,,,
208,17:00,50,,,
209,9:00,50,,,
209,10:00,50,,,
209,11:00,50,,,
209,12:00,50,,,
209,13:00,50,,,
209,14:00,50,,,
209,15:00,50,,,
209,16:00,50,,,
210,13:00,50,,,
100203,9:00,50,,,
100203,10:00,50,,,
100203,11:00,50,,,
100203,12:00,50,,,
100203,13:00,50,,,
100203,14:00,50,,,
100203,15:00,50,,,
100203,16:00,50,,,
100203,17:00,50,,,
100203,18:00,50,,,
304,9:00,50,,,
304,10:00,50,,,
304,11:00,50,,,
304,13:00,50,,,
304,14:00,50,,,
307,11:00,50,,,
305,10:00,50,,,
305,12:00,50,,,
301,9:00,50,,,
301,10:00,50,,,
301,11:00,50,,,
301,12:00,50,,,
301,13:00,50,,,
301,14:00,50,,,
301,15:00,50,,,
301,16:00,50,,,
301,17:00,50,,,
301,18:00,50,,,
100204,11:30,50,,,
100204,12:30,50,,,
100204,13:00,50,,,
100204,14:30,50,,,
100204,15:30,50,,,
100204,16:30,50,,,
100204,17:20,50,,,
408,11:30,50,,,
408,12:30,50,,,
408,13:00,50,,,
408,14:30,50,,,
408,15:30,50,,,
100304,13:00,50,,,
100304,15:30,50,,,
407,12:30,50,,,
