1020,102,R,,1
1020,2,T,全价,2
1021,102,R,,1
1021,2,T,半价,2
1022,102,R,,1
1001020,100102,R,,1
2050,205,R,,1
2050,5,T,全价,2
2051,205,R,,1
2051,5,T,半价,2
2052,205,R,,1
2060,206,R,,1
2060,6,T,全价,2
2061,206,R,,1
2061,6,T,半价,2
2062,206,R,,1
2560,256,R,,1
2560,5,T,全价,2
2560,6,T,全价,3
2561,256,R,,1
2561,5,T,半价,2
2561,6,T,半价,3
2562,256,R,,1
2040,204,R,,1
2040,4,T,全价,2
2041,204,R,,1
2041,4,T,半价,2
2042,204,R,,1
2070,207,R,,1
2070,7,T,全价,2
2071,207,R,,1
2071,7,T,半价,2
2072,207,R,,1
2470,247,R,,1
2470,4,T,全价,2
2470,7,T,全价,3
2471,247,R,,1
2471,4,T,半价,2
2471,7,T,半价,3
2472,247,R,,1
2030,203,R,,1
2080,208,R,,1
2080,8,T,全价,2
2081,208,R,,1
2081,8,T,半价,2
2082,208,R,,1
2090,209,R,,1
2090,9,T,全价,2
2091,209,R,,1
2091,9,T,半价,2
2092,209,R,,1
2100,210,R,,1
2100,10,T,全价,2
2101,210,R,,1
2101,10,T,半价,2
2102,210,R,,1
1002030,100203,R,,1
1002030,3,T,全价,2
1002031,100203,R,,1
1002031,3,T,半价,2
1002032,100203,R,,1
3040,304,R,,1
3040,4,T,全价,2
3041,304,R,,1
3041,4,T,半价,2
3042,304,R,,1
3070,307,R,,1
3070,7,T,全价,2
3071,307,R,,1
3071,7,T,半价,2
3072,307,R,,1
3050,305,R,,1
3050,5,T,全价,2
3051,305,R,,1
3051,5,T,半价,2
3052,305,R,,1
3010,301,R,,1
1002040,100204,R,,1
1002040,4,T,全价,2
1002041,100204,R,,1
1002041,4,T,半价,2
1002042,100204,R,,1
4080,408,R,,1
4080,8,T,全价,2
4081,408,R,,1
4081,8,T,半价,2
4082,408,R,,1
1003040,100304,R,,1
4070,407,R,,1
4070,7,T,全价,2
4071,407,R,,1
4071,7,T,半价,2
4072,407,R,,1
